spacing,woodType,woodGrade,2*6,2*8,2*10,2*12,DL,;
16,Hem-fir,#3,7-6,9-6,11-8,13-6,20,;
,,,,,,,,
16,Southern pine,SS,11-2,14-8,18-9,22-10,20,;
16,Southern pine,#1,10-11,14-5,17-11,21-4,20,;
16,Southern pine,#2,10-5,13-6,16-1,18-10,20,;
16,Southern pine,#3,8-1,10-3,12-2,14-6,20,;
,,,,,,,,
16,Spruce-pine-fir,SS,10-6,13-10,17-8,21-4,20,;
16,Spruce-pine-fir,#1,9-11,12-7,15-5,17-10,20,;
16,Spruce-pine-fir,#2,9-11,12-7,15-5,17-10,20,;
16,Spruce-pine-fir,#3,7-6,9-6,11-8,13-6,20,;
,,,,,,,,
19.2,Douglas fir-larch,SS,10-8,14-1,18-0,21-0,20,;
19.2,Douglas fir-larch,#1,9-8,12-4,15-0,17-5,20,;
19.2,Douglas fir-larch,#2,9-1,11-6,14-1,16-3,20,;
19.2,Douglas fir-larch,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
19.2,Hem-fir,SS,10-1,13-4,17-0,20-7,20,;
19.2,Hem-fir,#1,9-6,12-0,14-8,17-0,20,;
19.2,Hem-fir,#2,8-11,11-4,13-10,16-1,20,;
19.2,Hem-fir,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
19.2,Southern pine,SS,10-6,13-10,17-8,21-6,20,;
19.2,Southern pine,#1,10-4,13-7,16-4,19-6,20,;
19.2,Southern pine,#2,9-6,12-4,14-8,17-2,20,;
19.2,Southern pine,#3,7-4,9-5,11-1,13-2,20,;
,,,,,,,,
19.2,Spruce-pine-fir,SS,9-10,13-0,16-7,19-6,20,;
19.2,Spruce-pine-fir,#1,9-1,11-6,14-1,16-3,20,;
19.2,Spruce-pine-fir,#2,9-1,11-6,14-1,16-3,20,;
19.2,Spruce-pine-fir,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
24,Douglas fir-larch,SS,9-11,13-1,16-2,18-9,20,;
24,Douglas fir-larch,#1,8-8,11-0,13-5,15-7,20,;
24,Douglas fir-larch,#2,8-1,10-3,12-7,14-7,20,;
24,Douglas fir-larch,#3,6-2,7-9,9-6,11-0,20,;
,,,,,,,,
24,Hem-fir,SS,9-4,12-4,15-9,18-5,20,;
24,Hem-fir,#1,8-6,10-9,13-1,15-2,20,;
24,Hem-fir,#2,8-0,10-2,12-5,14-4,20,;
24,Hem-fir,#3,6-2,7-9,9-6,11-0,20,;
,,,,,,,,
24,Southern pine,SS,9-9,12-10,16-5,19-11,20,;
24,Southern pine,#1,9-7,12-4,14-7,17-5,20,;
24,Southern pine,#2,8-6,11-0,13-1,15-5,20,;
24,Southern pine,#3,6-7,8-5,9-11,11-10,20,;
,,,,,,,,
24,Spruce-pine-fir,SS,9-2,12-1,15-0,17-5,20,;
24,Spruce-pine-fir,#1,8-1,10-3,12-7,14-7,20,;
24,Spruce-pine-fir,#2,8-1,10-3,12-7,14-7,20,;
24,Spruce-pine-fir,#3,6-2,7-9,9-6,11-0,20,;
