spacing,woodType,woodGrade,2*6,2*8,2*10,2*12,DL,;
,,,,,,,,
12,Douglas fir-larch,SS,11-4,15-0,19-1,23-3,10,;
12,Douglas fir-larch,#1,10-11,14-5,18-5,22-0,10,;
12,Douglas fir-larch,#2,10-9,14-2,17-9,20-7,10,;
12,Douglas fir-larch,#3,8-8,11-0,13-5,15-7,10,;
,,,,,,,,
12,Hem-fir,SS,10-9,14-2,18-0,21-11,10,;
12,Hem-fir,#1,10-6,13-10,17-8,21-6,10,;
12,Hem-fir,#2,10-0,13-2,16-10,20-4,10,;
12,Hem-fir,#3,8-8,11-0,13-5,15-7,10,;
,,,,,,,,
12,Southern pine,SS,11-2,14-8,18-9,22-10,10,;
12,Southern pine,#1,10-11,14-5,18-5,22-5,10,;
12,Southern pine,#2,10-9,14-2,18-0,21-9,10,;
12,Southern pine,#3,9-4,11-11,14-0,16-8,10,;
,,,,,,,,
12,Spruce-pine-fir,SS,10-6,13-10,17-8,21-6,10,;
12,Spruce-pine-fir,#1,10-3,13-6,17-3,20-7,10,;
12,Spruce-pine-fir,#2,10-3,13-6,17-3,20-7,10,;
12,Spruce-pine-fir,#3,8-8,11-0,13-5,15-7,10,;
,,,,,,,,
16,Douglas fir-larch,SS,10-4,13-7,17-4,21-1,10,;
16,Douglas fir-larch,#1,9-11,13-1,16-5,19-1,10,;
16,Douglas fir-larch,#2,9-9,12-7,15-5,17-10,10,;
16,Douglas fir-larch,#3,7-6,9-6,11-8,13-6,10,;
,,,,,,,,
16,Hem-fir,SS,9-9,12-10,16-5,19-11,10,;
16,Hem-fir,#1,9-6,12-7,16-0,18-7,10,;
16,Hem-fir,#2,9-1,12-0,15-2,17-7,10,;
16,Hem-fir,#3,7-6,9-6,11-8,13-6,10,;
,,,,,,,,
16,Southern pine,SS,10-2,13-4,17-0,20-9,10,;
16,Southern pine,#1,9-11,13-1,16-9,20-4,10,;
16,Southern pine,#2,9-9,12-10,16-1,18-10,10,;
16,Southern pine,#3,8-1,10-3,12-2,14-6,10,;
,,,,,,,,
16,Spruce-pine-fir,SS,9-6,12-7,16-0,19-6,10,;
16,Spruce-pine-fir,#1,9-4,12-3,15-5,17-10,10,;
16,Spruce-pine-fir,#2,9-4,12-3,15-5,17-10,10,;
16,Spruce-pine-fir,#3,7-6,9-6,11-8,13-6,10,;
,,,,,,,,
19.2,Douglas fir-larch,SS,9-8,12-10,16-4,19-10,10,;
19.2,Douglas fir-larch,#1,9-4,12-4,15-0,17-5,10,;
19.2,Douglas fir-larch,#2,9-1,11-6,14-1,16-3,10,;
19.2,Douglas fir-larch,#3,6-10,8-8,10-7,12-4,10,;
,,,,,,,,
19.2,Hem-fir,SS,9-2,12-1,15-5,18-9,10,;
19.2,Hem-fir,#1,9-0,11-10,14-8,17-0,10,;
19.2,Hem-fir,#2,8-7,11-3,13-10,16-1,10,;
19.2,Hem-fir,#3,6-10,8-8,10-7,12-4,10,;
,,,,,,,,
19.2,Southern pine,SS,9-6,12-7,16-0,19-6,10,;
