spacing,woodType,woodGrade,2*6,2*8,2*10,2*12,DL,;
19.2,Southern pine,#1,9-4,12-4,15-9,19-2,10,;
19.2,Southern pine,#2,9-2,12-1,14-8,17-2,10,;
19.2,Southern pine,#3,7-4,9-5,11-1,13-2,10,;
,,,,,,,,
19.2,Spruce-pine-fir,SS,9-0,11-10,15-1,18-4,10,;
19.2,Spruce-pine-fir,#1,8-9,11-6,14-1,16-3,10,;
19.2,Spruce-pine-fir,#2,8-9,11-6,14-1,16-3,10,;
19.2,Spruce-pine-fir,#3,6-10,8-8,10-7,12-4,10,;
,,,,,,,,
24,Douglas fir-larch,SS,9-0,11-11,15-2,18-5,10,;
24,Douglas fir-larch,#1,8-8,11-0,13-5,15-7,10,;
24,Douglas fir-larch,#2,8-1,10-3,12-7,14-7,10,;
24,Douglas fir-larch,#3,6-2,7-9,9-6,11-0,10,;
,,,,,,,,
24,Hem-fir,SS,8-6,11-3,14-4,17-5,10,;
24,Hem-fir,#1,8-4,10-9,13-1,15-2,10,;
24,Hem-fir,#2,7-11,10-2,12-5,14-4,10,;
24,Hem-fir,#3,6-2,7-9,9-6,11-0,10,;
,,,,,,,,
24,Southern pine,SS,8-10,11-8,14-11,18-1,10,;
24,Southern pine,#1,8-8,11-5,14-7,17-5,10,;
24,Southern pine,#2,8-6,11-0,13-1,15-5,10,;
24,Southern pine,#3,6-7,8-5,9-11,11-10,10,;
,,,,,,,,
24,Spruce-pine-fir,SS,8-4,11-0,14-0,17-0,10,;
24,Spruce-pine-fir,#1,8-1,10-3,12-7,14-7,10,;
24,Spruce-pine-fir,#2,8-1,10-3,12-7,14-7,10,;
24,Spruce-pine-fir,#3,6-2,7-9,9-6,11-0,10,;
,,,,,,,,
12,Douglas fir-larch,SS,11-4,15-0,19-1,23-3,20,;
12,Douglas fir-larch,#1,10-11,14-2,17-4,20-1,20,;
12,Douglas fir-larch,#2,10-6,13-3,16-3,18-10,20,;
12,Douglas fir-larch,#3,7-11,10-0,12-3,14-3,20,;
,,,,,,,,
12,Hem-fir,SS,10-9,14-2,18-0,21-11,20,;
12,Hem-fir,#1,10-6,13-10,16-11,19-7,20,;
12,Hem-fir,#2,10-0,13-1,16-0,18-6,20,;
12,Hem-fir,#3,7-11,10-0,12-3,14-3,20,;
,,,,,,,,
12,Southern pine,SS,11-2,14-8,18-9,22-10,20,;
12,Southern pine,#1,10-11,14-5,18-5,22-5,20,;
12,Southern pine,#2,10-9,14-2,16-11,19-10,20,;
12,Southern pine,#3,8-6,10-10,12-10,15-3,20,;
,,,,,,,,
12,Spruce-pine-fir,SS,10-6,13-10,17-8,21-6,20,;
12,Spruce-pine-fir,#1,10-3,13-3,16-3,18-10,20,;
12,Spruce-pine-fir,#2,10-3,13-3,16-3,18-10,20,;
12,Spruce-pine-fir,#3,7-11,10-0,12-3,14-3,20,;
,,,,,,,,
16,Douglas fir-larch,SS,10-4,13-7,17-4,21-0,20,;
16,Douglas fir-larch,#1,9-8,12-4,15-0,17-5,20,;
16,Douglas fir-larch,#2,9-1,11-6,14-1,16-3,20,;
16,Douglas fir-larch,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
16,Hem-fir,SS,9-9,12-10,16-5,19-11,20,;
16,Hem-fir,#1,9-6,12-0,14-8,17-0,20,;
16,Hem-fir,#2,8-11,11-4,13-10,16-1,20,;
16,Hem-fir,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
16,Southern pine,SS,10-2,13-4,17-0,20-9,20,;
16,Southern pine,#1,9-11,13-1,16-4,19-6,20,;
16,Southern pine,#2,9-6,12-4,14-8,17-2,20,;
16,Southern pine,#3,7-4,9-5,11-1,13-2,20,;
,,,,,,,,
16,Spruce-pine-fir,SS,9-6,12-7,16-0,19-6,20,;
16,Spruce-pine-fir,#1,9-1,11-6,14-1,16-3,20,;
16,Spruce-pine-fir,#2,9-1,11-6,14-1,16-3,20,;
16,Spruce-pine-fir,#3,6-10,8-8,10-7,12-4,20,;
,,,,,,,,
19.2,Douglas fir-larch,SS,9-8,12-10,16-4,19-2,20,;
19.2,Douglas fir-larch,#1,8-10,11-3,13-8,15-11,20,;
19.2,Douglas fir-larch,#2,8-3,10-6,12-10,14-10,20,;
19.2,Douglas fir-larch,#3,6-3,7-11,9-8,11-3,20,;
,,,,,,,,
19.2,Hem-fir,SS,9-2,12-1,15-5,18-9,20,;
19.2,Hem-fir,#1,8-8,10-11,13-4,15-6,20,;
19.2,Hem-fir,#2,8-2,10-4,12-8,14-8,20,;
19.2,Hem-fir,#3,6-3,7-11,9-8,11-3,20,;
,,,,,,,,
19.2,Southern pine,SS,9-6,12-7,16-0,19-6,20,;
19.2,Southern pine,#1,9-4,12-4,14-11,17-9,20,;
19.2,Southern pine,#2,8-8,11-3,13-5,15-8,20,;
19.2,Southern pine,#3,6-9,8-7,10-1,12-1,20,;
,,,,,,,,
19.2,Spruce-pine-fir,SS,9-0,11-10,15-1,17-9,20,;
19.2,Spruce-pine-fir,#1,8-3,10-6,12-10,14-10,20,;
19.2,Spruce-pine-fir,#2,8-3,10-6,12-10,14-10,20,;
19.2,Spruce-pine-fir,#3,6-3,7-11,9-8,11-3,20,;
,,,,,,,,
24,Douglas fir-larch,SS,9-0,11-11,14-9,17-1,20,;
24,Douglas fir-larch,#1,7-11,10-0,12-3,14-3,20,;
24,Douglas fir-larch,#2,7-5,9-5,11-6,13-4,20,;
24,Douglas fir-larch,#3,5-7,7-1,8-8,10-1,20,;
,,,,,,,,
24,Hem-fir,SS,8-6,11-3,14-4,16-10,20,;
24,Hem-fir,#1,7-9,9-9,11-11,13-10,20,;
24,Hem-fir,#2,7-4,9-3,11-4,13-1,20,;
24,Hem-fir,#3,5-7,7-1,8-8,10-1,20,;
,,,,,,,,
24,Southern pine,SS,8-10,11-8,14-11,18-1,20,;
24,Southern pine,#1,8-8,11-3,13-4,15-11,20,;
24,Southern pine,#2,7-9,10-0,12-0,14-0,20,;
24,Southern pine,#3,6-0,7-8,9-1,10-9,20,;
,,,,,,,,
24,Spruce-pine-fir,SS,8-4,11-0,13-8,15-11,20,;
24,Spruce-pine-fir,#1,7-5,9-5,11-6,13-4,20,;
24,Spruce-pine-fir,#2,7-5,9-5,11-6,13-4,20,;
24,Spruce-pine-fir,#3,5-7,7-1,8-8,10-1,20,;
